temperature,humidity,soil_moisture,label,description
23.3,67.6,53.9,Wheat,Thrives in cooler climates with moderate moisture.
23.4,68.8,44.1,Wheat,Thrives in cooler climates with moderate moisture.
18.0,60.7,44.0,Wheat,Thrives in cooler climates with moderate moisture.
14.8,68.5,52.9,Wheat,Thrives in cooler climates with moderate moisture.
17.1,62.1,55.2,Wheat,Thrives in cooler climates with moderate moisture.
24.9,69.8,56.0,Wheat,Thrives in cooler climates with moderate moisture.
21.7,68.3,52.4,Wheat,Thrives in cooler climates with moderate moisture.
17.7,64.9,46.5,Wheat,Thrives in cooler climates with moderate moisture.
13.1,55.5,57.6,Wheat,Thrives in cooler climates with moderate moisture.
23.4,60.1,53.8,Wheat,Thrives in cooler climates with moderate moisture.
16.9,64.8,59.0,Wheat,Thrives in cooler climates with moderate moisture.
23.7,56.4,51.0,Wheat,Thrives in cooler climates with moderate moisture.
19.9,67.2,49.8,Wheat,Thrives in cooler climates with moderate moisture.
13.6,67.7,40.5,Wheat,Thrives in cooler climates with moderate moisture.
21.4,66.5,44.9,Wheat,Thrives in cooler climates with moderate moisture.
12.6,65.6,45.0,Wheat,Thrives in cooler climates with moderate moisture.
22.3,69.8,44.3,Wheat,Thrives in cooler climates with moderate moisture.
18.8,58.4,53.9,Wheat,Thrives in cooler climates with moderate moisture.
17.6,68.7,59.7,Wheat,Thrives in cooler climates with moderate moisture.
18.7,57.6,49.4,Wheat,Thrives in cooler climates with moderate moisture.
20.2,64.7,42.4,Wheat,Thrives in cooler climates with moderate moisture.
14.8,66.1,53.3,Wheat,Thrives in cooler climates with moderate moisture.
19.8,67.0,47.4,Wheat,Thrives in cooler climates with moderate moisture.
20.8,55.9,45.7,Wheat,Thrives in cooler climates with moderate moisture.
21.4,59.4,48.2,Wheat,Thrives in cooler climates with moderate moisture.
12.2,60.5,57.7,Wheat,Thrives in cooler climates with moderate moisture.
18.0,53.0,52.6,Wheat,Thrives in cooler climates with moderate moisture.
23.9,65.2,50.5,Wheat,Thrives in cooler climates with moderate moisture.
10.2,59.6,51.6,Wheat,Thrives in cooler climates with moderate moisture.
21.7,64.5,55.4,Wheat,Thrives in cooler climates with moderate moisture.
20.4,51.8,48.8,Wheat,Thrives in cooler climates with moderate moisture.
20.3,65.7,54.6,Wheat,Thrives in cooler climates with moderate moisture.
16.4,58.7,50.5,Wheat,Thrives in cooler climates with moderate moisture.
10.4,53.7,48.8,Wheat,Thrives in cooler climates with moderate moisture.
20.4,59.8,49.6,Wheat,Thrives in cooler climates with moderate moisture.
21.8,61.0,40.3,Wheat,Thrives in cooler climates with moderate moisture.
13.6,68.4,57.4,Wheat,Thrives in cooler climates with moderate moisture.
18.3,50.9,47.2,Wheat,Thrives in cooler climates with moderate moisture.
17.4,68.3,40.1,Wheat,Thrives in cooler climates with moderate moisture.
10.3,53.5,51.9,Wheat,Thrives in cooler climates with moderate moisture.
22.5,52.7,47.5,Wheat,Thrives in cooler climates with moderate moisture.
15.4,60.1,40.7,Wheat,Thrives in cooler climates with moderate moisture.
18.0,56.4,58.9,Wheat,Thrives in cooler climates with moderate moisture.
19.3,59.7,56.6,Wheat,Thrives in cooler climates with moderate moisture.
22.6,52.8,45.9,Wheat,Thrives in cooler climates with moderate moisture.
13.8,69.3,48.9,Wheat,Thrives in cooler climates with moderate moisture.
12.0,66.6,46.5,Wheat,Thrives in cooler climates with moderate moisture.
11.9,67.8,59.3,Wheat,Thrives in cooler climates with moderate moisture.
21.2,59.0,46.9,Wheat,Thrives in cooler climates with moderate moisture.
20.3,58.1,45.9,Wheat,Thrives in cooler climates with moderate moisture.
23.2,61.5,55.7,Wheat,Thrives in cooler climates with moderate moisture.
19.4,64.4,46.9,Wheat,Thrives in cooler climates with moderate moisture.
11.8,60.5,46.4,Wheat,Thrives in cooler climates with moderate moisture.
22.9,63.3,41.0,Wheat,Thrives in cooler climates with moderate moisture.
10.6,59.9,41.7,Wheat,Thrives in cooler climates with moderate moisture.
14.2,58.2,56.1,Wheat,Thrives in cooler climates with moderate moisture.
23.0,69.6,52.3,Wheat,Thrives in cooler climates with moderate moisture.
11.0,62.3,47.2,Wheat,Thrives in cooler climates with moderate moisture.
22.6,56.6,42.2,Wheat,Thrives in cooler climates with moderate moisture.
18.6,63.2,53.2,Wheat,Thrives in cooler climates with moderate moisture.
10.8,55.3,42.3,Wheat,Thrives in cooler climates with moderate moisture.
23.6,55.5,56.6,Wheat,Thrives in cooler climates with moderate moisture.
24.9,59.1,40.4,Wheat,Thrives in cooler climates with moderate moisture.
13.3,68.4,49.5,Wheat,Thrives in cooler climates with moderate moisture.
21.4,64.9,57.1,Wheat,Thrives in cooler climates with moderate moisture.
17.0,63.5,42.3,Wheat,Thrives in cooler climates with moderate moisture.
16.2,59.6,41.5,Wheat,Thrives in cooler climates with moderate moisture.
15.3,59.8,53.6,Wheat,Thrives in cooler climates with moderate moisture.
23.4,65.1,53.1,Wheat,Thrives in cooler climates with moderate moisture.
11.3,50.0,51.6,Wheat,Thrives in cooler climates with moderate moisture.
15.5,54.6,55.5,Wheat,Thrives in cooler climates with moderate moisture.
22.1,60.3,47.8,Wheat,Thrives in cooler climates with moderate moisture.
24.1,65.9,46.4,Wheat,Thrives in cooler climates with moderate moisture.
13.6,64.4,41.7,Wheat,Thrives in cooler climates with moderate moisture.
21.5,61.6,54.5,Wheat,Thrives in cooler climates with moderate moisture.
10.6,68.0,55.6,Wheat,Thrives in cooler climates with moderate moisture.
13.6,56.5,40.0,Wheat,Thrives in cooler climates with moderate moisture.
23.3,52.2,57.5,Wheat,Thrives in cooler climates with moderate moisture.
16.9,58.5,42.4,Wheat,Thrives in cooler climates with moderate moisture.
18.7,59.0,48.9,Wheat,Thrives in cooler climates with moderate moisture.
10.5,50.1,59.1,Wheat,Thrives in cooler climates with moderate moisture.
20.4,64.0,51.5,Maize,Needs warm weather and moderate rainfall.
25.1,66.6,50.8,Maize,Needs warm weather and moderate rainfall.
18.8,75.3,49.3,Maize,Needs warm weather and moderate rainfall.
19.8,59.3,54.7,Maize,Needs warm weather and moderate rainfall.
21.8,56.8,65.0,Maize,Needs warm weather and moderate rainfall.
24.7,71.3,59.2,Maize,Needs warm weather and moderate rainfall.
20.2,60.0,47.3,Maize,Needs warm weather and moderate rainfall.
23.9,56.6,65.6,Maize,Needs warm weather and moderate rainfall.
22.5,51.1,69.2,Maize,Needs warm weather and moderate rainfall.
21.6,78.7,69.1,Maize,Needs warm weather and moderate rainfall.
22.4,75.6,49.9,Maize,Needs warm weather and moderate rainfall.
20.0,62.4,52.6,Maize,Needs warm weather and moderate rainfall.
22.9,76.1,67.3,Maize,Needs warm weather and moderate rainfall.
24.6,59.1,69.6,Maize,Needs warm weather and moderate rainfall.
23.3,66.1,69.1,Maize,Needs warm weather and moderate rainfall.
19.2,80.0,61.6,Maize,Needs warm weather and moderate rainfall.
26.6,57.3,53.9,Maize,Needs warm weather and moderate rainfall.
26.4,53.0,70.0,Maize,Needs warm weather and moderate rainfall.
18.7,78.6,41.7,Maize,Needs warm weather and moderate rainfall.
22.1,59.6,60.4,Maize,Needs warm weather and moderate rainfall.
22.1,54.5,41.7,Maize,Needs warm weather and moderate rainfall.
22.0,71.3,43.7,Maize,Needs warm weather and moderate rainfall.
23.8,74.1,67.0,Maize,Needs warm weather and moderate rainfall.
22.7,77.2,67.4,Maize,Needs warm weather and moderate rainfall.
25.4,75.4,68.1,Maize,Needs warm weather and moderate rainfall.
19.0,55.5,52.5,Maize,Needs warm weather and moderate rainfall.
18.4,60.9,51.5,Maize,Needs warm weather and moderate rainfall.
22.3,60.3,48.0,Maize,Needs warm weather and moderate rainfall.
22.0,68.5,53.8,Maize,Needs warm weather and moderate rainfall.
25.7,69.1,45.8,Maize,Needs warm weather and moderate rainfall.
23.0,70.8,46.8,Maize,Needs warm weather and moderate rainfall.
19.3,51.6,66.6,Maize,Needs warm weather and moderate rainfall.
20.0,69.9,46.3,Maize,Needs warm weather and moderate rainfall.
24.1,50.5,42.6,Maize,Needs warm weather and moderate rainfall.
23.1,55.0,67.4,Maize,Needs warm weather and moderate rainfall.
20.7,77.7,51.4,Maize,Needs warm weather and moderate rainfall.
23.8,68.4,57.4,Maize,Needs warm weather and moderate rainfall.
24.3,70.3,62.8,Maize,Needs warm weather and moderate rainfall.
18.3,69.7,45.6,Maize,Needs warm weather and moderate rainfall.
20.2,65.2,59.8,Maize,Needs warm weather and moderate rainfall.
20.7,71.1,58.8,Maize,Needs warm weather and moderate rainfall.
23.8,66.2,55.0,Maize,Needs warm weather and moderate rainfall.
21.8,58.9,49.4,Maize,Needs warm weather and moderate rainfall.
23.8,72.0,69.0,Maize,Needs warm weather and moderate rainfall.
23.0,73.1,55.1,Maize,Needs warm weather and moderate rainfall.
23.5,52.7,49.6,Maize,Needs warm weather and moderate rainfall.
24.2,77.2,50.8,Maize,Needs warm weather and moderate rainfall.
18.1,73.3,65.6,Maize,Needs warm weather and moderate rainfall.
26.8,64.7,41.2,Maize,Needs warm weather and moderate rainfall.
20.2,78.6,59.1,Maize,Needs warm weather and moderate rainfall.
19.5,64.0,58.2,Maize,Needs warm weather and moderate rainfall.
21.8,79.8,56.1,Maize,Needs warm weather and moderate rainfall.
19.1,76.6,51.2,Maize,Needs warm weather and moderate rainfall.
19.4,74.8,47.7,Maize,Needs warm weather and moderate rainfall.
18.8,51.5,41.7,Maize,Needs warm weather and moderate rainfall.
20.0,61.2,68.7,Maize,Needs warm weather and moderate rainfall.
18.4,58.7,54.8,Maize,Needs warm weather and moderate rainfall.
23.0,62.9,44.1,Maize,Needs warm weather and moderate rainfall.
24.5,52.0,64.9,Maize,Needs warm weather and moderate rainfall.
19.2,70.2,59.9,Maize,Needs warm weather and moderate rainfall.
21.6,63.9,55.7,Maize,Needs warm weather and moderate rainfall.
26.3,51.4,43.0,Maize,Needs warm weather and moderate rainfall.
26.0,63.0,60.6,Maize,Needs warm weather and moderate rainfall.
18.6,50.4,44.6,Maize,Needs warm weather and moderate rainfall.
19.7,66.7,50.7,Maize,Needs warm weather and moderate rainfall.
19.5,57.2,45.8,Maize,Needs warm weather and moderate rainfall.
21.7,77.8,40.1,Maize,Needs warm weather and moderate rainfall.
19.4,66.5,58.3,Maize,Needs warm weather and moderate rainfall.
22.6,58.1,56.5,Maize,Needs warm weather and moderate rainfall.
21.8,69.6,47.7,Maize,Needs warm weather and moderate rainfall.
21.0,74.6,61.8,Maize,Needs warm weather and moderate rainfall.
22.9,78.2,54.1,Maize,Needs warm weather and moderate rainfall.
23.6,60.5,49.6,Maize,Needs warm weather and moderate rainfall.
19.5,54.4,53.9,Maize,Needs warm weather and moderate rainfall.
23.3,69.2,47.2,Maize,Needs warm weather and moderate rainfall.
21.2,71.3,41.2,Maize,Needs warm weather and moderate rainfall.
25.0,66.1,52.4,Maize,Needs warm weather and moderate rainfall.
21.9,56.1,66.0,Maize,Needs warm weather and moderate rainfall.
22.3,50.3,56.0,Maize,Needs warm weather and moderate rainfall.
26.6,63.4,45.6,Maize,Needs warm weather and moderate rainfall.
23.0,54.9,67.1,Maize,Needs warm weather and moderate rainfall.
24.4,59.5,50.0,Maize,Needs warm weather and moderate rainfall.
19.4,72.0,50.8,Maize,Needs warm weather and moderate rainfall.
22.5,58.0,56.3,Maize,Needs warm weather and moderate rainfall.
21.1,54.8,43.6,Maize,Needs warm weather and moderate rainfall.
25.4,51.7,63.4,Maize,Needs warm weather and moderate rainfall.
22.4,75.4,64.8,Maize,Needs warm weather and moderate rainfall.
24.4,79.1,65.8,Maize,Needs warm weather and moderate rainfall.
24.2,71.7,59.2,Maize,Needs warm weather and moderate rainfall.
25.0,75.9,43.7,Maize,Needs warm weather and moderate rainfall.
19.9,58.0,60.1,Maize,Needs warm weather and moderate rainfall.
19.3,73.6,46.6,Maize,Needs warm weather and moderate rainfall.
23.0,68.3,50.5,Maize,Needs warm weather and moderate rainfall.
18.3,59.9,41.9,Maize,Needs warm weather and moderate rainfall.
25.8,56.6,53.0,Maize,Needs warm weather and moderate rainfall.
20.6,77.4,49.1,Maize,Needs warm weather and moderate rainfall.
26.6,65.7,44.8,Maize,Needs warm weather and moderate rainfall.
19.0,55.3,56.9,Maize,Needs warm weather and moderate rainfall.
23.6,74.6,66.3,Maize,Needs warm weather and moderate rainfall.
23.8,53.4,40.2,Maize,Needs warm weather and moderate rainfall.
29.4,73.4,72.6,Sugarcane,Grows well in tropical climates with high soil moisture.
32.8,72.4,68.2,Sugarcane,Grows well in tropical climates with high soil moisture.
26.5,68.3,86.6,Sugarcane,Grows well in tropical climates with high soil moisture.
33.6,79.7,92.8,Sugarcane,Grows well in tropical climates with high soil moisture.
31.4,74.3,70.6,Sugarcane,Grows well in tropical climates with high soil moisture.
23.6,65.7,78.6,Sugarcane,Grows well in tropical climates with high soil moisture.
29.3,78.1,91.0,Sugarcane,Grows well in tropical climates with high soil moisture.
33.2,83.3,84.0,Sugarcane,Grows well in tropical climates with high soil moisture.
25.1,70.1,95.9,Sugarcane,Grows well in tropical climates with high soil moisture.
34.9,82.0,93.6,Sugarcane,Grows well in tropical climates with high soil moisture.
31.1,80.3,94.2,Sugarcane,Grows well in tropical climates with high soil moisture.
26.4,60.1,93.2,Sugarcane,Grows well in tropical climates with high soil moisture.
28.7,69.0,77.7,Sugarcane,Grows well in tropical climates with high soil moisture.
29.6,66.4,78.6,Sugarcane,Grows well in tropical climates with high soil moisture.
24.3,71.4,91.0,Sugarcane,Grows well in tropical climates with high soil moisture.
23.0,69.7,97.2,Sugarcane,Grows well in tropical climates with high soil moisture.
32.2,62.5,74.9,Sugarcane,Grows well in tropical climates with high soil moisture.
22.9,66.8,90.2,Sugarcane,Grows well in tropical climates with high soil moisture.
34.5,79.0,89.1,Sugarcane,Grows well in tropical climates with high soil moisture.
28.4,65.5,81.8,Sugarcane,Grows well in tropical climates with high soil moisture.
24.3,61.6,80.4,Sugarcane,Grows well in tropical climates with high soil moisture.
24.2,62.5,68.7,Sugarcane,Grows well in tropical climates with high soil moisture.
32.2,79.7,73.3,Sugarcane,Grows well in tropical climates with high soil moisture.
23.1,62.6,88.2,Sugarcane,Grows well in tropical climates with high soil moisture.
21.2,64.5,74.3,Sugarcane,Grows well in tropical climates with high soil moisture.
30.9,65.9,96.3,Sugarcane,Grows well in tropical climates with high soil moisture.
27.4,66.4,65.7,Sugarcane,Grows well in tropical climates with high soil moisture.
34.7,70.8,87.5,Sugarcane,Grows well in tropical climates with high soil moisture.
24.9,72.9,88.0,Sugarcane,Grows well in tropical climates with high soil moisture.
33.4,60.1,98.9,Sugarcane,Grows well in tropical climates with high soil moisture.
33.5,79.6,67.4,Sugarcane,Grows well in tropical climates with high soil moisture.
24.6,61.3,70.1,Sugarcane,Grows well in tropical climates with high soil moisture.
29.2,63.0,92.8,Sugarcane,Grows well in tropical climates with high soil moisture.
28.1,72.2,74.2,Sugarcane,Grows well in tropical climates with high soil moisture.
22.2,61.6,84.3,Sugarcane,Grows well in tropical climates with high soil moisture.
29.9,84.5,80.0,Sugarcane,Grows well in tropical climates with high soil moisture.
30.0,77.6,82.2,Sugarcane,Grows well in tropical climates with high soil moisture.
33.5,72.5,72.2,Sugarcane,Grows well in tropical climates with high soil moisture.
22.5,84.6,72.1,Sugarcane,Grows well in tropical climates with high soil moisture.
22.2,65.5,68.8,Sugarcane,Grows well in tropical climates with high soil moisture.
23.3,71.3,69.3,Sugarcane,Grows well in tropical climates with high soil moisture.
24.7,73.3,68.7,Sugarcane,Grows well in tropical climates with high soil moisture.
30.6,81.4,66.7,Sugarcane,Grows well in tropical climates with high soil moisture.
34.4,60.9,92.7,Sugarcane,Grows well in tropical climates with high soil moisture.
30.7,66.2,93.5,Sugarcane,Grows well in tropical climates with high soil moisture.
31.5,80.6,78.0,Sugarcane,Grows well in tropical climates with high soil moisture.
24.6,75.7,97.7,Sugarcane,Grows well in tropical climates with high soil moisture.
28.2,60.8,84.8,Sugarcane,Grows well in tropical climates with high soil moisture.
30.6,81.1,68.3,Sugarcane,Grows well in tropical climates with high soil moisture.
25.4,60.9,94.8,Sugarcane,Grows well in tropical climates with high soil moisture.
25.0,73.8,84.4,Sugarcane,Grows well in tropical climates with high soil moisture.
28.4,68.1,72.8,Sugarcane,Grows well in tropical climates with high soil moisture.
30.0,60.2,82.3,Sugarcane,Grows well in tropical climates with high soil moisture.
24.8,83.1,86.8,Sugarcane,Grows well in tropical climates with high soil moisture.
30.3,76.1,94.2,Sugarcane,Grows well in tropical climates with high soil moisture.
30.7,66.4,94.9,Sugarcane,Grows well in tropical climates with high soil moisture.
31.5,76.7,91.5,Sugarcane,Grows well in tropical climates with high soil moisture.
24.0,75.7,68.7,Sugarcane,Grows well in tropical climates with high soil moisture.
30.7,79.4,80.5,Sugarcane,Grows well in tropical climates with high soil moisture.
33.2,84.7,70.8,Sugarcane,Grows well in tropical climates with high soil moisture.
23.7,66.6,70.8,Sugarcane,Grows well in tropical climates with high soil moisture.
22.2,60.4,77.6,Sugarcane,Grows well in tropical climates with high soil moisture.
28.8,73.0,69.1,Sugarcane,Grows well in tropical climates with high soil moisture.
30.7,63.2,69.9,Sugarcane,Grows well in tropical climates with high soil moisture.
28.3,62.9,67.4,Sugarcane,Grows well in tropical climates with high soil moisture.
25.5,80.3,89.5,Sugarcane,Grows well in tropical climates with high soil moisture.
28.1,75.7,77.7,Sugarcane,Grows well in tropical climates with high soil moisture.
34.2,83.1,73.6,Sugarcane,Grows well in tropical climates with high soil moisture.
27.7,74.3,88.8,Sugarcane,Grows well in tropical climates with high soil moisture.
30.7,69.7,91.0,Sugarcane,Grows well in tropical climates with high soil moisture.
34.1,64.9,85.7,Sugarcane,Grows well in tropical climates with high soil moisture.
21.8,80.8,98.2,Sugarcane,Grows well in tropical climates with high soil moisture.
34.8,76.0,84.9,Sugarcane,Grows well in tropical climates with high soil moisture.
27.0,70.5,97.7,Sugarcane,Grows well in tropical climates with high soil moisture.
31.1,60.9,88.5,Sugarcane,Grows well in tropical climates with high soil moisture.
24.1,82.8,92.7,Sugarcane,Grows well in tropical climates with high soil moisture.
26.7,83.8,78.6,Sugarcane,Grows well in tropical climates with high soil moisture.
22.5,72.1,81.8,Sugarcane,Grows well in tropical climates with high soil moisture.
31.8,60.7,76.7,Sugarcane,Grows well in tropical climates with high soil moisture.
34.1,81.0,88.3,Sugarcane,Grows well in tropical climates with high soil moisture.
30.2,66.4,79.2,Sugarcane,Grows well in tropical climates with high soil moisture.
29.1,82.3,85.8,Sugarcane,Grows well in tropical climates with high soil moisture.
32.3,73.8,75.1,Sugarcane,Grows well in tropical climates with high soil moisture.
24.4,82.7,83.0,Sugarcane,Grows well in tropical climates with high soil moisture.
23.7,82.8,82.2,Sugarcane,Grows well in tropical climates with high soil moisture.
26.7,71.1,95.7,Sugarcane,Grows well in tropical climates with high soil moisture.
28.6,66.1,86.1,Sugarcane,Grows well in tropical climates with high soil moisture.
21.8,66.9,77.2,Sugarcane,Grows well in tropical climates with high soil moisture.
25.7,83.8,66.2,Sugarcane,Grows well in tropical climates with high soil moisture.
23.9,60.6,92.6,Sugarcane,Grows well in tropical climates with high soil moisture.
27.8,68.8,77.7,Sugarcane,Grows well in tropical climates with high soil moisture.
33.6,79.9,65.7,Sugarcane,Grows well in tropical climates with high soil moisture.
22.1,82.2,91.9,Sugarcane,Grows well in tropical climates with high soil moisture.
